generacion,optimal,avg,dominio
0,11033.0,11376.42,[0.88677809 0.77124914 0.78207534 0.02257037 0.64196381 0.88526071]
1,10997.0,11365.89,[0.94353572 0.75995037 0.61799807 0.43627579 0.69019313 0.91927044]
2,10997.0,11362.21,[0.94353572 0.75995037 0.61799807 0.43627579 0.69019313 0.91927044]
3,10908.0,11373.97,[0.912802   0.95607159 0.94895242 0.34659035 0.85008972 0.84249787]
