generacion,optimal,avg,dominio
0,10.012018787116283,10.020585527747732,"[  25.23575461 -116.94977554  300.           24.02683069 -100.26286937
   70.        ]"
1,10.009437474230621,10.020204003665809,"[  21.28669581 -100.21602438  300.           29.97303692 -112.58451026
  300.        ]"
2,10.009437474230621,10.019637090085283,"[  21.28669581 -100.21602438  300.           29.97303692 -112.58451026
  300.        ]"
3,10.009437474230621,10.019694983134553,"[  21.28669581 -100.21602438  300.           29.97303692 -112.58451026
  300.        ]"
4,10.009437474230621,10.019286911477138,"[  21.28669581 -100.21602438  300.           29.97303692 -112.58451026
  300.        ]"
