generacion,optimal,avg
0,10.03281544014529,10.054144067586243
1,10.03281544014529,12.502849555651922
2,10.03281544014529,13.504367183423039
3,10.03281544014529,14.315473048121428
4,10.03281544014529,15.324653281983
5,10.03281544014529,15.770760957315238
6,10.03281544014529,16.42157899275078
7,10.03281544014529,17.200153537289005
8,10.03281544014529,17.479217359773894
9,10.03281544014529,17.70019304410625
