generacion,optimal,avg,dominio
0,10.004865385096144,10.00744065632621,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
1,10.004865385096144,10.007386029298441,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
2,10.004865385096144,10.007358998672828,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
3,10.004865385096144,10.007261610556158,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
4,10.004865385096144,10.007225913302959,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
5,10.004865385096144,10.007413302769086,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
6,10.004865385096144,10.007599082496762,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
7,10.004865385096144,10.007589987137365,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
8,10.004865385096144,10.007537151997674,"[  22.07130333  -88.49492187  300.           31.16284202  -96.96961871
  300.           30.83367881  -94.395941     70.           19.20636547
 -100.52928021   70.           28.16940133  -99.16127506  140.
   22.43612575 -100.88499529  140.           27.43917926  -86.56931068
  300.           30.21279723 -111.71826093  140.           23.80116669
  -96.91489471   70.           15.5431183  -114.68416253  300.
   30.02148839 -116.44956889   70.           16.97892325  -97.0354796
   70.           15.146538    -97.65655132  140.           26.75386322
 -110.10858635  140.           30.79016228 -106.4720942   140.        ]"
9,10.004416971608205,10.007660627560037,"[  25.6530926  -108.41037577  140.           27.09513277  -99.72371603
  140.           25.84622072 -116.95335623  300.           17.7700957
  -96.76921443  300.           22.612155    -90.80756501  300.
   28.49117248 -100.54719461   70.           32.32065629 -104.19515884
   70.           29.15682546  -88.26642546   70.           21.00128789
  -99.9309075   140.           30.99380086 -116.00624652  140.
   26.53835554  -95.92314394  140.           18.52029741 -117.49190646
   70.           20.5758989  -104.06657801  140.           31.5889111
 -111.71217586  140.           29.56110212  -89.10566813  300.        ]"
